index,id,titleId,title,ISSN,lcnumber,coden,publisher,serialTypes,contentTypes,country,countryCode,status,startYear,deweyNumbers,keyFeatures,otherFeatures,languages,subject,rss,openAccessUrl
2,679264,737706,Righting Wrongs,2167-1680,JC571,,Webster University * Institute for Human Rights and Humanitarian Studies,Journal,Academic / Scholarly,United States,USA,Active,2011,323,AVO|EON|RPR|URL,BIA|RPSA,English,POLITICAL SCIENCE - CIVIL RIGHTS,,
3,296720,205929,China Rights Forum (Online),,JC599.C6,,Human Rights in China,Journal,Academic / Scholarly,United States,USA,Active,1990,323.4,AI|AVO|EON|MLR|RPR|URL,BIA|BIB|BRI|CHI|ILI|REVI,Chinese|English,POLITICAL SCIENCE - CIVIL RIGHTS,,
4,347758,243771,Security and Human Rights,1874-7337,JC599.E9,HMEOAL,Brill - Nijhoff,Journal,Academic / Scholarly,Netherlands,NLD,Active,2008,323.4,AI|CCC|JCR|RPR|TOC|URL,ADI|BIA|BRI|REVI|RPSA,English,POLITICAL SCIENCE - CIVIL RIGHTS,,
5,447993,412512,Journal of Human Rights,1475-4843,JC571,,Routledge,Journal,Academic / Scholarly,United Kingdom,GBR,Active,,323,AI|AVO|CCC|RPR,BIA|FSI,English,POLITICAL SCIENCE - CIVIL RIGHTS,,
8,768177,817517,African Human Rights Yearbook,2523-1367,JC599.S56,,Pretoria University Law Press,Journal,Academic / Scholarly,South Africa,ZAF,Active,2017,323,RPR|URL,,English|French,POLITICAL SCIENCE - CIVIL RIGHTS,,
9,780878,829575,Human Rights Education Review,2535-5406,,,Universitetet i Soeroest-Norge,Journal,Academic / Scholarly,Norway,NOR,Active,2018,323,AVO|EON|OPA|RPR|URL,,English,POLITICAL SCIENCE - CIVIL RIGHTS,,https://journals.hioa.no/index.php/human/index
11,793825,841996,Peace Human Rights Governance,2532-3474,,,Padova University Press,Journal,Academic / Scholarly,Italy,ITA,Active,,323,AVO|OPA|RPR,,English,POLITICAL SCIENCE - CIVIL RIGHTS,,http://phrg.padovauniversitypress.it/
14,318974,222599,Nordic Journal of Human Rights,1891-8131,,,Taylor & Francis Scandinavia,Journal,Academic / Scholarly,Sweden,SWE,Active,1983,323.4,AI|CCC|JCR|RPR|URL,BIA|BRI|REVI|RPSA,English,POLITICAL SCIENCE - CIVIL RIGHTS,,
15,201413,137319,Turkish Yearbook of Human Rights,1300-1809,JC599.T87,,Institute of Public Administration for Turkey and Middle East,Journal,Academic / Scholarly,Turkey,TUR,Active,1979,323.4,AI|RPR|URL,BIA,English|French|German,POLITICAL SCIENCE - CIVIL RIGHTS,,
16,385856,273853,Australian Journal of Human Rights,1323-238X,K1,,Taylor & Francis Australasia,Journal,Academic / Scholarly,Australia,AUS,Active,1994,323.4,AI|CCC|RPR|URL,BIA|BRI|REVI,English,POLITICAL SCIENCE - CIVIL RIGHTS,,
17,515244,593933,Mediterranean Journal of Human Rights,1027-4375,K13,,Aracne Editrice,Journal,Academic / Scholarly,Italy,ITA,Active,1997,323,RPR|TOC|URL,,English,POLITICAL SCIENCE - CIVIL RIGHTS,,
22,751743,802817,The Age of Human Rights Journal,2340-9592,,,Universidad de Jaen * Servicio de Publicaciones,Journal,Academic / Scholarly,Spain,ESP,Active,2013,323,AI|AVO|CCC|EON|JCR|OPA|RPR|URL,,English,POLITICAL SCIENCE - CIVIL RIGHTS,,http://revistaselectronicas.ujaen.es/index.php/TAHRJ/index
23,726750,780664,Journal of Human Rights in the Commonwealth,2053-1699,,,University of London * Institute of Commonwealth Studies,Journal,Academic / Scholarly,United Kingdom,GBR,Active,2013,323,AVO|EON|RPR|URL,BIA,English,POLITICAL SCIENCE - CIVIL RIGHTS,,
24,786481,834858,The European Convention on Human Rights Law Review,2666-3228,,,Brill - Nijhoff,Journal,Academic / Scholarly,Netherlands,NLD,Active,2020,323,RPR|URL,ADI,English,POLITICAL SCIENCE - CIVIL RIGHTS,,
26,672846,731960,International Journal of Human Rights and Constitutional Studies,2050-103X,,,Inderscience Publishers,Journal,Academic / Scholarly,Switzerland,CHE,Active,2013,323,AI|CCC|JCR|RPR|TOC|URL,BIA|BIB|FSI,English,POLITICAL SCIENCE - CIVIL RIGHTS,,
29,759673,810008,Asian Yearbook of Human Rights and Humanitarian Law,2452-0578,KNC572.A15,,Brill - Nijhoff,Journal,Academic / Scholarly,Netherlands,NLD,Active,2017,323,RPR|URL,,English,POLITICAL SCIENCE - CIVIL RIGHTS,,
30,811349,859092,Europe des Droits et Libertes,2726-1263,,,Europe des Droits & Libertes / Europe of Rights & Liberties,Journal,Academic / Scholarly,France,FRA,Active,2020,323|323.4,AVO|EON|RPR|URL,,English|French,POLITICAL SCIENCE - CIVIL RIGHTS,,
31,531348,610568,Sur - Revista Internacional de Direitos Humanos,1806-6445,JC571,,Sur - Rede Universitaria de Direitos Humanos,Journal,Academic / Scholarly,Brazil,BRA,Active,2004,323,AI|AVO|EON|OPA|RPR|TOC|URL,BIA|BIB|BRI|FSI|REVI,English|Portuguese|Spanish,POLITICAL SCIENCE - CIVIL RIGHTS,,http://www.surjournal.org
33,59695,45626,Feminist Studies,2153-3873,,,"Feminist Studies, Inc.",Journal,Academic / Scholarly,United States,USA,Active,,305.4,AI|AVO|CCC|RPR,BIA,English,WOMEN'S STUDIES,,
38,244499,167128,Australian Feminist Studies,1465-3303,HQ1101,AFSTFJ,Routledge,Journal,Academic / Scholarly,Australia,AUS,Active,,305.4,AI|AVO|CCC|RPR,BIA|FSI,English,WOMEN'S STUDIES,,
39,124075,86075,Canadian Woman Studies,0713-3235,,,Inanna Publications and Education Inc.,Journal,Academic / Scholarly,Canada,CAN,Active,1978,305.412,AI|CCC|MLR|RPR|TOC|URL,ADI|BRI|ILI|REVI|RPSA,English|French,WOMEN'S STUDIES,,
41,430562,356085,Women's Studies Quarterly,1934-1520,,,Feminist Press,Journal,Academic / Scholarly,United States,USA,Active,,305.412,AI|AVO|RPR,BIA|FSI,English,WOMEN'S STUDIES,,
43,470559,467252,Feminist German Studies,2578-5192,,,University of Nebraska Press,Journal,Academic / Scholarly,United States,USA,Active,,305.4,AI|AVO|CCC|RPR,BIA,English,WOMEN'S STUDIES,,
44,768235,817573,Feminist Modernist Studies,2469-2921,HQ1101,,Taylor & Francis,Journal,Academic / Scholarly,United Kingdom,GBR,Active,2017,305.4,AI|RPR|URL,,English,WOMEN'S STUDIES,,
48,114199,79448,Women's Studies International Forum,1879-243X,HQ1101,,Elsevier Ltd,Journal,Academic / Scholarly,United Kingdom,GBR,Active,,305.412,AI|AVO|CCC|RPR,BIA|FSI,English,WOMEN'S STUDIES,,
50,823263,870595,Advances in Women's Studies,2822-4426,,,Ataturk University|Ataturk Universitesi,Journal,Academic / Scholarly,Turkey,TUR,Active,2019,305.4,AVO|EON|OPA|RPR|URL,,English|Turkish,WOMEN'S STUDIES,,https://womensresearch-ataunipress.org/EN
51,667961,727591,The Latchkey,2046-4525,,,Rivendale Press,Journal,Academic / Scholarly,United Kingdom,GBR,Active,2009,371.822,AI|AVO|EON|RPR|URL,BIA,English,WOMEN'S INTERESTS,,
54,350479,245698,Pakistan Journal of Women's Studies,1024-1256,HQ1101,,Tahera Aftab Ed. & Pub.,Journal,Academic / Scholarly,Pakistan,PAK,Active,1994,305.4,AI|CCC|RPR|URL,BIA|BIB|BRI|REVI,English,WOMEN'S STUDIES,,
56,440325,386783,Journal of International Women's Studies,1539-8706,,,Bridgewater State College,Journal,Academic / Scholarly,United States,USA,Active,1999,305.42,AI|AVO|EON|MLR|RPR|URL,BIA|BRI|REVI|RPSA,English,WOMEN'S STUDIES,,
57,423778,340270,European Journal of Women's Studies,1461-7420,HQ1181.E85,EJWSE5,Sage Publications Ltd.,Journal,Academic / Scholarly,United Kingdom,GBR,Active,,305.4,AI|AVO|CCC|RPR,BIA|FSI,English,WOMEN'S STUDIES,,
58,415000,315411,Asian Journal of Women's Studies,2377-004X,,,Taylor & Francis,Journal,Academic / Scholarly,United Kingdom,GBR,Active,,305.4,AI|AVO|CCC|RPR,BIA|FSI,English,WOMEN'S STUDIES,,
59,514942,593691,Indian Journal of Gender Studies,0973-0672,,,Sage Publications India Pvt. Ltd.,Journal,Academic / Scholarly,India,IND,Active,,305.4,AI|AVO|CCC|RPR,BIA|FSI,English,WOMEN'S STUDIES,,
61,831968,878838,Pandian Journal of Women's Studies,2583-715X,,,Maheswari Publishers * Pandian Educational Trust,Journal,Academic / Scholarly,India,IND,Active,2021,305.4,RPR|URL,,English|Tamil,WOMEN'S STUDIES,,https://pandianeducationaltrust.com/pandian-journal-of-womens-studies-n-pjws.html
62,478842,498012,Kadin / Woman 2000,1302-9916,HQ1726.7,,Eastern Mediterranean University * Centre for Women Studies,Journal,Academic / Scholarly,Cyprus,CYP,Active,2000,305.4,AI|RPR|URL,,English|Turkish,WOMEN'S STUDIES,,
64,529019,608522,Journal of Middle East Women's Studies,1558-9579,,,Duke University Press,Journal,Academic / Scholarly,United States,USA,Active,,305.4,AI|AVO|CCC|RPR,BIA,English,WOMEN'S STUDIES,,
66,695323,752069,On Our Terms,2325-4696,HQ1236,,Columbia University,Journal,Academic / Scholarly,United States,USA,Active,2013,305.4,AVO|EON|RPR|URL,BIA,English,WOMEN'S STUDIES,,
67,757932,808395,"Journal of Feminist, Gender and Women Studies",2444-1198,,,Universidad Autonoma de Madrid * Servicio de Publicaciones,Journal,Academic / Scholarly,Spain,ESP,Active,2015,305.4,AVO|EON|RPR|URL,,English|Spanish,WOMEN'S STUDIES,,
68,812573,860281,International Journal of Childhood and WomenÂ¿s Studies,2682-4361,,,"Ain Shams University * Faculty of Women for Arts, Science & Education",Journal,Academic / Scholarly,Egypt (Arab Republic of Egypt),EGY,Active,2020,305.4,OPA|RPR|URL,,English,WOMEN'S STUDIES,,
70,685441,743110,International Journal of Gender Studies in Developing Societies,2052-0352,,,Inderscience Publishers,Journal,Academic / Scholarly,Switzerland,CHE,Active,2015,305.4,AI|CCC|RPR|URL,BIA|BIB|FSI,English,WOMEN'S STUDIES,,
73,318952,222582,NORA,1502-394X,,,Taylor & Francis Scandinavia,Journal,Academic / Scholarly,Norway,NOR,Active,,305.411,AI|AVO|CCC|RPR,FSI,English,WOMEN'S STUDIES,,
74,810436,858207,Instytutu Studiow Kobiecych. Czasopismo Naukowe,2451-3539,,,Instytutu Studiow Kobiecych * Wydawnictwo Humanica,Journal,Academic / Scholarly,Poland,POL,Active,2016,305.4,OPA|RPR|URL,,English|Polish,WOMEN'S STUDIES,,
80,543778,620426,Women's Health,1745-5065,,,Sage Publications Ltd.,Journal,Academic / Scholarly,United Kingdom,GBR,Active,,613.04244,AI|AVO|CCC|OPA|RPR|URL,BIA|FSI,English,WOMEN'S HEALTH,,https://journals.sagepub.com/home/whe
81,462732,449118,BMC Women's Health,1472-6874,RA778.A1,BWHMAY,BioMed Central Ltd.,Journal,Academic / Scholarly,United Kingdom,GBR,Active,2001,613.04244,AI|AVO|CCC|EON|JCR|OPA|RPR|RSS|URL,ADI|BIA,English,WOMEN'S HEALTH,"[{'rssSourceDescription': 'Publisher', 'rssTypeCode': 'AA', 'rssFrequencyCode': 'I', 'rssUrl': 'http://www.biomedcentral.com/bmcwomenshealth/rss/'}]",https://bmcwomenshealth.biomedcentral.com/ealth/
82,767983,817323,Women's Health Bulletin,2345-5136,,,Shiraz University of Medical Sciences * Health Policy Research Center,Journal,Academic / Scholarly,"Iran, Islamic Republic of",IRN,Active,2014,613.04244,AI|OPA|RPR|URL,,English,WOMEN'S HEALTH,,
84,786310,834692,Women's Health Reports,2688-4844,RA564.85,,"Mary Ann Liebert, Inc. Publishers",Journal,Academic / Scholarly,United States,USA,Active,2020,618.082,AVO|EON|JCR|OPA|RPR|URL,ADI,English,WOMEN'S HEALTH,,https://home.liebertpub.com/publications/womens-health-reports/654
85,411288,303764,Journal of Women's Health,1931-843X,,,"Mary Ann Liebert, Inc. Publishers",Journal,Academic / Scholarly,United States,USA,Active,,618.082,AI|AVO|CCC|RPR,BIA|FSI,English,WOMEN'S HEALTH,,
88,727427,781292,Evidence Based Women's Health Journal,2090-7265,,,Lippincott Williams & Wilkins,Journal,Academic / Scholarly,United States,USA,Active,,613.04244,CCC|RPR|TOC,BIA,English,WOMEN'S HEALTH,,
91,422651,339218,Sexual and Reproductive Health Matters,2641-0397,RA788,,Taylor & Francis,Journal,Academic / Scholarly,United Kingdom,GBR,Active,1993,618.082,AI|AVO|CCC|JCR|OPA|RPR|URL,,English,WOMEN'S HEALTH,,https://www.tandfonline.com/toc/zrhm21/current
92,714468,769622,Case Reports in Women's Health,2214-9112,RA564.85,,Elsevier BV,Journal,Academic / Scholarly,Netherlands,NLD,Active,2014,613.04244,AI|AVO|CCC|EON|JCR|OPA|RPR|TOC|URL,,English,WOMEN'S HEALTH,,http://www.journals.elsevier.com/case-reports-in-womens-health/
93,783463,831959,Austin Journal of Women's Health,2472-3398,,,Austin Publishing Group,Journal,Academic / Scholarly,United States,USA,Active,2014,613.04244,AVO|EON|RPR|URL,BIA,English,WOMEN'S HEALTH,,
94,796087,844251,Frontiers in Global Women's Health,2673-5059,,,Frontiers Research Foundation,Journal,Academic / Scholarly,Switzerland,CHE,Active,2020,613.042,AVO|EON|JCR|OPA|RPR|URL,,English,WOMEN'S HEALTH,,https://www.frontiersin.org/journals/global-womens-health#
95,623737,688001,Journal of Women's & Pelvic Health Physical Therapy,2833-3659,,,Lippincott Williams & Wilkins,Journal,Academic / Scholarly,United States,USA,Active,,615.8,AI|AVO|CCC|RPR|URL,BIA,English,WOMEN'S HEALTH,,
97,672456,731598,New Male Studies,1839-7816,,,Australian Institute of Male Health and Studies,Journal,Academic / Scholarly,Australia,AUS,Active,2012,305.31,AI|AVO|EON|MLR|RPR|URL,,English,MEN'S STUDIES,,
99,418684,328678,The Journal of Men's Studies,1933-0251,HQ1088,,"Sage Publications, Inc.",Journal,Academic / Scholarly,United States,USA,Active,,305.31,AI|AVO|CCC|RPR,BIA|FSI,English,MEN'S STUDIES,,
101,305786,212628,GLQ,1527-9375,HQ75.15,,Duke University Press,Journal,Academic / Scholarly,United States,USA,Active,2000,306.766,AI|AVO|CCC|RPR,BIA,English,LGBTQ+,,
102,487558,537988,LGBTQ+ Family,2770-3371,,,Routledge,Journal,Academic / Scholarly,United States,USA,Active,2005,306.766,AI|CCC|JCR|MLR|RPR|URL,RPSA,English,LGBTQ+,,
105,526918,606334,Journal of Bisexuality,1529-9724,HQ74,,Routledge,Journal,Academic / Scholarly,United States,USA,Active,2001,306.766,AI|AVO|CCC|RPR|URL,BIA,English,LGBTQ+,,
106,471400,470995,Gender Forum,1613-1878,HQ1181.G3,,Universitaet Zu Koeln * Department of English,Journal,Academic / Scholarly,Germany,DEU,Active,2002,306.766,AI|AVO|EON|OPA|RPR|URL,,English,LGBTQ+,,http://www.genderforum.uni-koeln.de
107,801783,849830,Whatever,2611-657X,,,Universita degli Studi di Pisa * Centro Interuniversitario di Ricerca Queer,Journal,Academic / Scholarly,Italy,ITA,Active,2018,306.766,AVO|EON|OPA|RPR|URL,,English|French|German|Italian|Spanish,LGBTQ+,,http://whatever.cirque.unipi.it
108,784840,833297,Queer Cats,2639-0256,HQ75.15,,University of California * eScholarship,Journal,Academic / Scholarly,United States,USA,Active,2015,306.766,AVO|EON|RPR|URL,,English,LGBTQ+,,
109,725354,779398,LGBT Health,2325-8292,RA564.9.H65,,"Mary Ann Liebert, Inc. Publishers",Journal,Academic / Scholarly,United States,USA,Active,2014,306.766,AI|CCC|JCR|RPR|URL,ADI|BIA|FSI|RPSA,English,LGBTQ+,,
115,740059,792547,Civilistica.com,2316-8374,K3,,Revista Civilistica,Journal,Academic / Scholarly,Brazil,BRA,Active,2012,340.56,AI|AVO|EON|OPA|RPR|URL,BIA,English|French|Italian|Portuguese|Spanish,LAW - CIVIL LAW,,http://civilistica.com
116,330257,230959,Torts Law Journal,1038-5967,K24,,LexisNexis Butterworths,Journal,Academic / Scholarly,Australia,AUS,Active,1993,340.5,AI|CCC|RPR|URL,BIA,English,LAW - CIVIL LAW,,
120,616258,680983,Journal of European Tort Law,1868-9620,K10,,Walter de Gruyter GmbH,Journal,Academic / Scholarly,Germany,DEU,Active,2010,340.5,AI|AVO|CCC|RPR,,English,LAW - CIVIL LAW,,
121,745786,797564,International Journal of Procedural Law,2034-5275,K9,,Intersentia N.V.,Journal,Academic / Scholarly,Belgium,BEL,Active,2011,340.56,RPR|URL,,English|French|German|Spanish,LAW - CIVIL LAW,,
123,810494,858265,Teoriya Gosudarstva i Prava,2500-0837,,,Mezhregional'naya Assotsiatsiya Teoretikov Gosudarstva i Prava|Interregional Association of State and Law Theorists,Journal,Academic / Scholarly,Russian Federation,RUS,Active,2016,340.56,RPR|URL,BIA|BRI|REVI,English|Russian,LAW - CIVIL LAW,,
125,695164,751926,Journal of Ancient Near Eastern History,2328-9562,DS41,,Walter de Gruyter GmbH,Journal,Academic / Scholarly,Germany,DEU,Active,2014,956,AI|AVO|CCC|RPR,,English,HISTORY - HISTORY OF THE NEAR EAST,,
126,804394,852366,Asia Anteriore Antica,2611-8912,DS56,,Firenze University Press,Journal,Academic / Scholarly,Italy,ITA,Active,2018,930,AVO|EON|OPA|RPR|URL,,English,HISTORY - HISTORY OF THE NEAR EAST,,https://riviste.fupress.net/index.php/asiana/index
127,807063,854982,Journal of Near & Middle-Eastern Civilizations,2563-3627,,,University of Toronto * Near & Middle Eastern Civilizations Students' Union,Journal,Academic / Scholarly,Canada,CAN,Active,2004,956,RPR|URL,,English,HISTORY - HISTORY OF THE NEAR EAST,,
130,64880,48517,Kansas History,0149-9114,F681,,Kansas State Historical Society,Journal,Academic / Scholarly,United States,USA,Active,1881,978.1,AI|MLR|RPR|URL,BIA|BIB|BRI|CHI|ILI|ITA|REVI|RPSA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
132,600831,666171,Journal of Egyptian History,1874-1657,DT83,,Brill,Journal,Academic / Scholarly,Netherlands,NLD,Active,2008,932,AI|CCC|JCR|RPR|TOC|URL,ADI|BIA|RPSA,English,HISTORY - HISTORY OF AFRICA,,
134,355388,249311,Left History,1192-1927,HN1,LEHIEA,York University * Department of History,Journal,Academic / Scholarly,Canada,CAN,Active,1993,971,AI|CCC|RPR|URL,ADI|BIA|BRI|CHI|FRI|ILI|PRI|REVI|STAT,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
136,795403,843567,Athens Journal of History,2407-9677,D1,,Athens Institute for Education and Research,Journal,Academic / Scholarly,Greece,GRC,Active,2015,956,AVO|EON|OPA|RPR|URL,,English,HISTORY - HISTORY OF THE NEAR EAST,,https://www.athensjournals.gr/ajhis
137,69108,50799,North Dakota History,0029-2710,F631,,State Historical Society of North Dakota,Journal,Academic / Scholarly,United States,USA,Active,1926,978.4,AI|MLR|RPR|URL,BIA|BRI|ILI|ITA|MAP|REVI|RPSA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
139,750967,802122,Journal of West African History,2327-1876,,,Scholarly Publishing Collective,Journal,Academic / Scholarly,United States,USA,Active,2015,966,AVO|CCC|RPR|URL,BIA,English,HISTORY - HISTORY OF AFRICA,,
141,53045,42004,The Annals of Iowa,0003-4827,F616,,State Historical Society of Iowa,Journal,Academic / Scholarly,United States,USA,Active,1863,977.7,AI|CCC|MLR|RPR|TOC|URL,BIA|BRI|ILI|ITA|REVI|RPSA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
143,64349,48202,Journal of Mississippi History,0022-2771,F336,,Mississippi Historical Society,Journal,Academic / Scholarly,United States,USA,Active,1939,976.2,AI|MLR|RPR|URL,BIA|BIB|BRI|CHI|ILI|ITA|MAP|REVI|RPSA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
145,64667,48382,Journal of Southern History,2325-6893,,,Southern Historical Association,Journal,Academic / Scholarly,United States,USA,Active,,976,AI|AVO|CCC|RPR,BIA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
147,63673,47827,The Journal of American History,1945-2314,,,Oxford University Press,Journal,Academic / Scholarly,United States,USA,Active,,973,AI|AVO|CCC|RPR,BIA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
148,3529,14530,Journal of Caribbean History,0047-2263,F2155,,The University of the West Indies Press,Journal,Academic / Scholarly,Jamaica,JAM,Active,1970,972.9,AI|CCC|RPR|URL,BRI|REVI,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
155,659679,719893,Journal of Moravian History,2161-6310,,,Penn State University Press,Journal,Academic / Scholarly,United States,USA,Active,,973,AI|AVO|CCC|RPR|URL,BIA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
156,457395,436621,Journal of Illinois History,1522-0532,F541,,Illinois Historic Preservation Agency,Journal,Academic / Scholarly,United States,USA,Active,1998,977,AI|CCC|RPR|URL,BIA|BRI|CHI|ILI|REVI,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
161,245683,167930,Journal of Natal and Zulu History,0259-0123,DT873,,Routledge,Journal,Academic / Scholarly,United Kingdom,GBR,Active,1979,968.4,AI|CCC|RPR|URL,BRI|REVI,English,HISTORY - HISTORY OF AFRICA,,
163,513117,589884,History in Africa,1558-2744,DT19,,Cambridge University Press,Journal,Academic / Scholarly,United States,USA,Active,,960,AI|AVO|CCC|RPR,BIA,English,HISTORY - HISTORY OF AFRICA,,
164,5749,16001,Alberta History,0316-1552,F1075,ALHIE6,Historical Society of Alberta,Journal,Academic / Scholarly,Canada,CAN,Active,1953,971,AI|CCC|MLR|RPR|URL,BRI|CHI|ILI|ITA|REVI|RPSA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
165,7980,17252,Ontario History,0030-2953,F1056,,The Ontario Historical Society,Journal,Academic / Scholarly,Canada,CAN,Active,1899,971.3,AI|CCC|MLR|RPR|URL,BIA|BRI|ILI|ITA|REVI|RPSA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
166,58000,44685,Delaware History,0011-7765,F161,,Historical Society of Delaware,Journal,Academic / Scholarly,United States,USA,Active,1946,975.1,AI|MLR|RPR|URL,BIB|ILI|ITA|RPSA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
169,108058,75312,Maine History,1090-5413,F19,,Maine Historical Society,Journal,Academic / Scholarly,United States,USA,Active,1961,974,AI|RPR|TOC|URL,ADI|BIA|BRI|FSI|REVI,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
183,64630,48359,Journal of San Diego History,0022-4383,F868.S15,,San Diego History Center,Journal,Academic / Scholarly,United States,USA,Active,1955,979.4,AI|RPR|URL,ADI|BIA|BRI|ITA|REVI|RPSA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
185,641814,704007,Journal of Early American History,1877-0223,E186,,Brill,Journal,Academic / Scholarly,Netherlands,NLD,Active,2010,971|973|980,AI|CCC|JCR|RPR|URL,ADI|BIA|RPSA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
191,748422,799903,The Iowa Historical Review,2373-1842,,,University of Iowa * Department of History,Journal,Academic / Scholarly,United States,USA,Active,2007,977,AVO|EON|RPR|URL,BIA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
193,181300,123713,Oral History Forum,1482-5872,,,Canadian Oral History Association,Journal,Academic / Scholarly,Canada,CAN,Active,1976,971.006,AI|CCC|RPR|URL,BRI|REVI,English|French,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
194,6019,16151,British Columbia History,1710-7881,,,British Columbia Historical Federation,Journal,Academic / Scholarly,Canada,CAN,Active,1937,971,AI|CCC|RPR,BRI|ITA|REVI|RPSA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
196,86812,61548,South Dakota History,0361-8676,F646,,South Dakota State Historical Society,Journal,Academic / Scholarly,United States,USA,Active,1970,978,AI|RPR|TOC|URL,BIA|BRI|ILI|ITA|MAP|REVI|RPSA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
