index,id,titleId,title,ISSN,lcnumber,coden,publisher,serialTypes,contentTypes,country,countryCode,status,startYear,deweyNumbers,keyFeatures,otherFeatures,languages,subject,rss,openAccessUrl
201,585016,652925,West Virginia History,1940-5057,,,West Virginia University Press,Journal,Academic / Scholarly,United States,USA,Active,,975.4,AI|AVO|RPR,BIA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
205,765447,815055,Modern American History,2397-1851,,,Cambridge University Press,Journal,Academic / Scholarly,United Kingdom,GBR,Active,2017,973,AI|AVO|CCC|RPR,,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
207,803575,851571,Ohio Valley History,2377-0600,,,Cincinnati Museum Center,Journal,Academic / Scholarly,United States,USA,Active,,977,AI|AVO|RPR,BIA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
208,189358,129141,East Texas Historical Journal,0424-1444,F381,,East Texas Historical Association,Journal,Academic / Scholarly,United States,USA,Active,1963,976,AI|RPR|URL,BIA|BRI|REVI,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
210,788460,836769,Gephyra,1309-3924,DR431,,"Akdeniz Universitesi * Akdeniz Dillerini ve Kulturlerini Arastirma Merkezi|Akdeniz University, Research Centre for Mediterranean Languages and Cultures",Journal,Academic / Scholarly,Turkey,TUR,Active,2004,956.9,AI|OPA|RPR|URL,,English|French|German|Italian,HISTORY - HISTORY OF THE NEAR EAST,,
214,111394,77489,Reviews in American History,1080-6628,Z1236,,The Johns Hopkins University Press,Journal,Academic / Scholarly,United States,USA,Active,,970,AI|AVO|CCC|RPR,BIA|FSI,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
217,540600,617697,New York History (Online),2328-8132,,,Cornell University Press,Journal,Academic / Scholarly,United States,USA,Active,19??,974.7,AI|AVO|RPR|URL,BIA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
218,461062,443851,American Nineteenth Century History,1743-7903,,,Routledge,Journal,Academic / Scholarly,United Kingdom,GBR,Active,,973,AI|AVO|CCC|RPR,BIA|FSI,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
219,163446,111438,Annual Editions: United States History,1944-8384,E171,,McGraw-Hill * Contemporary Learning Series,Journal,Academic / Scholarly,United States,USA,Active,1972,917.3,AI|CCC|RPR|URL,BIA|ILI,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
221,681394,739572,Global Journal of African Studies,2045-2594,,,Oxford Academic Publishing Ltd.,Journal,Academic / Scholarly,United Kingdom,GBR,Active,2011,960,RPR|URL,,English,HISTORY - HISTORY OF AFRICA,,
225,716496,771366,International Journal of Ethiopian Studies,2328-9899,,,Tsehai Publishers,Journal,Academic / Scholarly,United States,USA,Active,,963,AVO|RPR,BIA,Amharic|English,HISTORY - HISTORY OF AFRICA,,
228,831814,878688,The Australasian Review of African Studies,1447-8420,,,The African Studies Association of Australasia and the Pacific,Journal,Academic / Scholarly,Australia,AUS,Active,2001,960,JCR|RPR|URL,,English,HISTORY - HISTORY OF AFRICA,,
229,784836,833293,Dotawo,2373-2571,DT159.6.N83,,University of California * eScholarship,Journal,Academic / Scholarly,United States,USA,Active,2014,932,AVO|EON|OPA|RPR|URL,,English,HISTORY - HISTORY OF AFRICA,,https://escholarship.org/uc/dotawo
231,30019,29824,Journal of Palestine Studies,1533-8614,DS119.7,,Taylor & Francis,Journal,Academic / Scholarly,United States,USA,Active,,956.94,AI|AVO|CCC|RPR,BIA,English,HISTORY - HISTORY OF THE NEAR EAST,,
234,424190,340668,International Journal of African Historical Studies,2326-3016,,,Boston University * African Studies Center,Journal,Academic / Scholarly,United States,USA,Active,,960,AI|AVO|RPR,BIA,English,HISTORY - HISTORY OF AFRICA,"[{'rssSourceDescription': 'Ingenta', 'rssTypeCode': 'LI', 'rssFrequencyCode': 'D', 'rssUrl': 'http://api.ingentaconnect.com/content/docdel/4541.580000/latest?format=rss'}, {'rssSourceDescription': 'Ingenta', 'rssTypeCode': 'RI', 'rssFrequencyCode': 'D', 'rssUrl': 'http://api.ingentaconnect.com/content/docdel/4541.580000?format=rss'}]",
235,558969,632098,International Journal of African Renaissance Studies,1818-6874,DT1,,Routledge,Journal,Academic / Scholarly,United Kingdom,GBR,Active,2006,960,AI|CCC|JCR|RPR|TOC|URL,BRI|REVI|RPSA,English,HISTORY - HISTORY OF AFRICA,,
239,656275,716818,International Review of Turkish Studies,2211-3967,,,Instituut voor Turkse Studies|Institute for Turkish Studies,Journal,Academic / Scholarly,Netherlands,NLD,Active,2011,956.1,RPR|URL,,English|Turkish,HISTORY - HISTORY OF THE NEAR EAST,,
241,827493,874578,News from the Lands of the Hittites,2611-0555,,,Mimesis Edizioni,Journal,Academic / Scholarly,Italy,ITA,Active,2017,939,AVO|EON|RPR|URL,,English,HISTORY - HISTORY OF THE NEAR EAST,,
246,439461,384008,British Journal of Middle Eastern Studies,1469-3542,DS61.9.G7,,Routledge,Journal,Academic / Scholarly,United Kingdom,GBR,Active,,956,AI|AVO|CCC|RPR,BIA|FSI,English,HISTORY - HISTORY OF THE NEAR EAST,,
247,643273,705310,International Journal of Advanced Studies and Research in Africa,1920-8693,,,Africa Science Network,Journal,Academic / Scholarly,Canada,CAN,Active,2010,960,RPR|URL,FSI,English,HISTORY - HISTORY OF AFRICA,,
249,111870,77819,Journal of the Gulf and Arabian Peninsula Studies,0254-4288,DS201,,Kuwait University * Academic Publication Council,Journal,Academic / Scholarly,Kuwait,KWT,Active,1975,956,AI|RPR|URL,BIA|BIB|BRI|REVI,Arabic|English,HISTORY - HISTORY OF THE NEAR EAST,,
251,63680,47832,Journal of American Studies,1469-5154,E151,,Cambridge University Press,Journal,Academic / Scholarly,United Kingdom,GBR,Active,,973,AI|AVO|CCC|RPR,BIA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,"[{'rssSourceDescription': 'Publisher', 'rssTypeCode': 'LI', 'rssFrequencyCode': 'AS', 'rssUrl': 'http://journals.cambridge.org/data/rss/feed_AMS_rss_2.0.xml'}]",
253,116354,80891,Historical Journal of Massachusetts,0276-8313,E171,,Westfield State College * Institute for Massachusetts Studies,Journal,Academic / Scholarly,United States,USA,Active,1972,973,AI|RPR|TOC|URL,BIA|BRI|ILI|ITA|REVI,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
255,387036,274743,Journal of South Texas,1099-9310,F386,,South Texas Historical Association,Journal,Academic / Scholarly,United States,USA,Active,1974,976,AI|RPR|URL,BIA|BRI|REVI,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
256,697496,754077,Journal of Backcountry Studies,2325-4254,F106,,University of North Carolina at Greensboro * University Libraries,Journal,Academic / Scholarly,United States,USA,Active,2006,975,AI|AVO|EON|RPR|URL,BIA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
257,455321,430935,Heritage of the Great Plains,0739-4772,F681,,Emporia State University * Center for Great Plains Studies,Journal,Academic / Scholarly,United States,USA,Active,1957,978.1,AI|RPR|URL,,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
260,809596,857435,"Journal of Late Antique, Islamic and Byzantine Studies",2634-2367,,,Edinburgh University Press Ltd.,Journal,Academic / Scholarly,United Kingdom,GBR,Active,2022,956,RPR|URL,,English,HISTORY - HISTORY OF THE NEAR EAST,,
262,331424,231791,Journal of Big Bend Studies,1058-4617,,JBBSEZ,Sul Ross State University * Center for Big Bend Studies,Journal,Academic / Scholarly,United States,USA,Active,1989,976,AI|RPR|TOC|URL,BIA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
263,132275,91406,Australasian Journal of American Studies,1838-9554,E169.1,,Australian and New Zealand American Studies Association,Journal,Academic / Scholarly,Australia,AUS,Active,19??,973,AI|CCC|RPR|URL,BIA|BRI|REVI,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
267,657218,717671,The Journal of the Civil War Era,2159-9807,,,University of North Carolina Press,Journal,Academic / Scholarly,United States,USA,Active,,973,AI|AVO|CCC|RPR,BIA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
270,781559,830217,London Journal of Canadian Studies,2397-0928,,,U C L Press Ltd.,Journal,Academic / Scholarly,United Kingdom,GBR,Active,,971,AI|AVO|OPA|RPR,,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,https://www.uclpress.co.uk/pages/the-london-journal-of-canadian-studies
272,824329,871602,DABIR,2470-4040,,,Brill,Journal,Academic / Scholarly,Netherlands,NLD,Active,2015,956,RPR|URL,,"English|French|German|Persian, Modern",HISTORY - HISTORY OF THE NEAR EAST,,
274,812731,860439,Hunar va Tamaddun-i Sharq,2345-6620,,,"NAZAR Research Center for Art, Architecture & Urbanism",Journal,Academic / Scholarly,"Iran, Islamic Republic of",IRN,Active,2013,955|956,AVO|OPA|RPR|URL,,"English|Persian, Modern",HISTORY - HISTORY OF THE NEAR EAST,,http://www.jaco-sj.com/?lang=en
275,455415,431138,American Studies Association of Texas. Journal,0587-5064,E169.1,,American Studies Association of Texas,Journal,Academic / Scholarly,United States,USA,Active,1970,973,AI|RPR|TOC|URL,,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
276,722377,776685,European Journal of Latin American Studies,2286-0053,,,Institutul de Studii Latino-Americane,Journal,Academic / Scholarly,Romania,ROM,Active,2013,980,RPR|URL,BIA|BRI|REVI,English|Spanish,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
278,102225,71492,Historic Madison,0361-574X,F589.M1,,"Historic Madison, Inc. of Wisconsin",Journal,Academic / Scholarly,United States,USA,Active,1975,977.5,RPR|URL,BIA|BRI|ILI|REVI,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
279,798911,847003,Archipelagos,2689-842X,F2161,,Columbia University Libraries,Journal,Academic / Scholarly,United States,USA,Active,2016,972.9,AVO|EON|OPA|RPR|URL,,English|French|Spanish,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,http://archipelagosjournal.org/
280,802303,850344,Stichproben,1992-8610,,,Universitaet Wien * Institut fuer Afrikanistik,Journal,Academic / Scholarly,Austria,AUT,Active,2001,960,AI|OPA|RPR|URL,,English|French|German|Swahili,HISTORY - HISTORY OF AFRICA,,
281,385812,273818,UNISA Latin American Report,0256-6060,F1401,,UniSA Press,Journal,Academic / Scholarly,South Africa,ZAF,Active,1985,980,AI|CCC|RPR|URL,BRI|ILI|REVI,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
283,438342,378944,49th Parallel,1753-5794,E31,,The University of Birmingham * Department of American and Canadian Studies,Journal,Academic / Scholarly,United Kingdom,GBR,Active,1999,971,AI|AVO|CCC|EON|OPA|RPR|URL,BIA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,http://www.49thparallel.bham.ac.uk
284,601841,667134,Journal of the Gilded Age and Progressive Era,1943-3557,E661,,Cambridge University Press,Journal,Academic / Scholarly,United States,USA,Active,,973,AI|AVO|CCC|RPR,BIA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
286,777220,826031,Middle Atlantic Review of Latin American Studies,2474-9621,F1401,,Middle Atlantic Council of Latin American Studies,Journal,Academic / Scholarly,United States,USA,Active,2017,980,AI|AVO|EON|OPA|RPR|URL,BRI|REVI,English|Portuguese|Spanish,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,http://www.marlasjournal.com
287,792810,840978,Iran Calismalari Dergisi,2536-5029,,,"Sakarya Universitesi * Ortadogu Enstitusu|Sakarya University, Middle East Institute",Journal,Academic / Scholarly,Turkey,TUR,Active,2017,956,AI|RPR|URL,,English|Turkish,HISTORY - HISTORY OF THE NEAR EAST,,
289,470267,466610,Canadian Journal of Latin American and Caribbean Studies,2333-1461,,,Taylor & Francis Inc.,Journal,Academic / Scholarly,United States,USA,Active,,980.005,AI|AVO|CCC|RPR,BIA|FSI,English|French|Portuguese|Spanish,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
290,798265,846381,Vakanuvis - Uluslararasi Tarih Arastirmalari Dergisi,2149-9535,,,Vakanuvis Uluslararasi Tarih Arastirmalari Dergisi,Journal,Academic / Scholarly,Turkey,TUR,Active,2016,956.1,OPA|RPR|URL,BRI|REVI,English|Turkish,HISTORY - HISTORY OF THE NEAR EAST,,
292,819811,867280,Magallat Gami'at Dimasq li-l-Dirasat al-Tarihiyyat,2789-7478,,,Jami'at Dimashq|Damascus University,Journal,Academic / Scholarly,Syrian Arab Republic,SYR,Active,2018,956,AVO|EON|OPA|RPR|URL,,Arabic|English,HISTORY - HISTORY OF THE NEAR EAST,,http://journal.damascusuniversity.edu.sy/index.php/hisj
296,181337,123742,Korean Studies,1529-1529,DS901,,University of Hawai'i Press,Journal,Academic / Scholarly,United States,USA,Active,2000,950,AI|AVO|CCC|RPR,BIA,English,ASIAN STUDIES,,
298,610083,675422,Ming Studies,1759-7595,,,Routledge,Journal,Academic / Scholarly,United Kingdom,GBR,Active,,950,AI|AVO|CCC|RPR,BIA,English,ASIAN STUDIES,,
299,459934,441458,Iranian Studies,1475-4819,DS251,,Cambridge University Press,Journal,Academic / Scholarly,United Kingdom,GBR,Active,,955,AI|AVO|CCC|RPR,BIA|FSI,English,ASIAN STUDIES,,
302,716188,771136,Arab Studies Journal,2328-9627,,,Arab Studies Institute,Journal,Academic / Scholarly,United States,USA,Active,,953,AI|AVO|RPR,BIA,English,ASIAN STUDIES,,
305,778421,827182,China and Asia,2589-4641,DS701,,Brill,Journal,Academic / Scholarly,Netherlands,NLD,Active,2019,950,AI|RPR|URL,ADI|BIA,English,ASIAN STUDIES,,
307,63735,47862,Journal of Asian Studies,1752-0401,DS501,,Duke University Press,Journal,Academic / Scholarly,United States,USA,Active,,950,AI|AVO|CCC|RPR,BIA|FSI,English,ASIAN STUDIES,,
309,600756,666104,Review of Korean Studies,2733-9351,,,Academy of Korean Studies,Journal,Academic / Scholarly,"Korea, Republic of",KOR,Active,,951.9,AI|AVO|OPA|RPR,BIA,English,ASIAN STUDIES,,http://www.aks.ac.kr/rks
310,507014,564181,Mamluk Studies Review (Online),1947-2404,DT96,,University of Chicago * Middle East Documentation Center,Journal,Academic / Scholarly,United States,USA,Active,1997,956,AI|AVO|EON|RPR|URL,BIA,English,ASIAN STUDIES,,
312,821592,868997,Asian Studies in Mongolia,2957-5281,,,National University of Mongolia * School of Arts and Sciences,Journal,Academic / Scholarly,Mongolia,MNG,Active,2022,950,AVO|EON|RPR|URL,,English,ASIAN STUDIES,,
313,42190,36549,Asia Major,0004-4482,DS501,,Academia Sinica * Institute of History and Philology,Journal,Academic / Scholarly,"Taiwan, Republic of China",TWN,Active,1923,950,AI|RPR|URL,ADI|BIA|BIB|BRI|ILI|MAP|REVI|RPSA,English,ASIAN STUDIES,,
317,19031,22981,International Quarterly for Asian Studies,2566-686X,DS1,,Arnold-Bergstraesser-Institut fuer Kulturwissenschaftliche Forschung,Journal,Academic / Scholarly,Germany,DEU,Active,1970,950,AI|CCC|OPA|RPR|URL,ADI|BRI|REVI,English|German,ASIAN STUDIES,,
318,99218,69479,American Journal of Chinese Studies,2166-0042,,,American Association for Chinese Studies,Journal,Academic / Scholarly,United States,USA,Active,1984,495.1|951,AI|MLR|RPR|URL,BIA|BRI|CHI|ILI|ITA|REVI|RPSA|STAT,English,ASIAN STUDIES,,
320,150903,103348,Harvard Journal of Asiatic Studies,1944-6454,,,Harvard-Yenching Institute,Journal,Academic / Scholarly,United States,USA,Active,,950,AI|AVO|RPR,BIA|FSI,English,ASIAN STUDIES,,
321,316720,220953,Copenhagen Journal of Asian Studies,1395-4199,DS501,,Handelshoejskolen i Koebenhavn * Asia Research Centre|Copenhagen Business School,Journal,Academic / Scholarly,Denmark,DNK,Active,1987,950,AI|CCC|OPA|RPR|URL,ADI|BIA|BRI|REVI,English,ASIAN STUDIES,,
322,199077,135634,Southeast Review of Asian Studies,1083-074X,DS1,,Association for Asian Studies * Southeast Conference,Journal,Academic / Scholarly,United States,USA,Active,1979,950,AI|RPR|URL,BIA,English,ASIAN STUDIES,,
323,369234,260360,Hugoye: Journal of Syriac Studies,1097-3702,DS59.J24,,Syriac Computing Institute,Journal,Academic / Scholarly,United States,USA,Active,1998,956,AI|AVO|RPR|URL,BIA|BRI|REVI,English,ASIAN STUDIES,,
326,527032,606446,Journal of East Asian Studies,2234-6643,,,Cambridge University Press,Journal,Academic / Scholarly,United States,USA,Active,,950,AI|AVO|CCC|RPR,BIA|FSI,English,ASIAN STUDIES,"[{'rssSourceDescription': 'Extenza', 'rssTypeCode': 'AA', 'rssFrequencyCode': 'AS', 'rssUrl': 'http://www.extenza-eps.com/rss/etoc/jeas'}]",
329,613237,678394,The Journal of Central Asian Studies,0975-086X,DS329.4,,University of Kashmir * Centre of Central Asian Studies,Journal,Academic / Scholarly,India,IND,Active,1990,958,AI|RPR,BIA|CHI|ILI|MAP|PAT|STAT|TRL,English,ASIAN STUDIES,,
331,648035,709551,Journal of West Asian Studies,0975-7856,DS41,,Aligarh Muslim University,Journal,Academic / Scholarly,India,IND,Active,1985,950,RPR|URL,,English,ASIAN STUDIES,,
334,766037,815623,International Journal of Taiwan Studies,2468-8800,,,Brill,Journal,Academic / Scholarly,Netherlands,NLD,Active,2018,950,AI|AVO|CCC|RPR,BIA,English,ASIAN STUDIES,,
336,726622,780559,Saksaha: A Journal of Manchu Studies,2376-581X,,,Michigan Publishing,Journal,Academic / Scholarly,United States,USA,Active,2014,950,AVO|RPR|URL,,English,ASIAN STUDIES,,
337,727876,781695,International Journal of Area Studies,2029-2074,,,Vytautas Magnus University * Faculty of Political Science and Diplomacy,Journal,Academic / Scholarly,Poland,POL,Active,2006,950,AI|OPA|RPR|URL,,English,ASIAN STUDIES,,
339,629719,693409,Journal of Song-Yuan Studies,2154-6665,,,Journal of Sung-Yuan Studies,Journal,Academic / Scholarly,United States,USA,Active,2010,951,AI|AVO|RPR,BIA,Chinese|English,ASIAN STUDIES,,
342,830098,877070,European Journal of Korean Studies,2631-4134,DS901,,British Association for Korean Studies,Journal,Academic / Scholarly,United Kingdom,GBR,Active,1991,951.9,JCR|RPR|URL,,English,ASIAN STUDIES,,
344,809954,857778,Alon,2767-4568,E184.F4,,University of California * eScholarship,Journal,Academic / Scholarly,United States,USA,Active,2021,973.049921,AVO|EON|MLR|OPA|RPR|URL,BRI|REVI,English,ASIAN STUDIES,,https://escholarship.org/uc/alonfilipinxjournal
346,338514,236819,New Zealand Journal of Asian Studies,1174-8915,,,"New Zealand Asian Studies Society, Inc.",Journal,Academic / Scholarly,New Zealand,NZL,Active,1993,959,AI|RPR|TOC|URL,BRI|REVI,English,ASIAN STUDIES,,
348,641041,703346,International Journal of West Asian Studies,2180-4788,,,"Universiti Kebangsaan Malaysia. Institut Kajian Rantau Asia Barat|National University of Malaysia, Institute of West Asian Studies",Journal,Academic / Scholarly,Malaysia,MYS,Active,2009,950,AVO|RPR,BIA|BRI|REVI,Arabic|English|Malay,ASIAN STUDIES,,
350,707873,763668,British Association for Chinese Studies. Journal,2048-0601,,,British Association for Chinese Studies,Journal,Academic / Scholarly,United Kingdom,GBR,Active,2011,951,AVO|EON|RPR|URL,BIA,English,ASIAN STUDIES,,
351,420068,334278,European Journal of East Asian Studies,1568-0584,DS501,,Brill,Journal,Academic / Scholarly,Netherlands,NLD,Active,2001,950,AI|CCC|RPR|RSS|URL,ADI|BIA|RPSA,English,ASIAN STUDIES,"[{'rssSourceDescription': 'Ingenta', 'rssTypeCode': 'RI', 'rssFrequencyCode': 'I', 'rssUrl': 'http://www.ingentaconnect.com/content/brill/eeas?format=rss'}, {'rssSourceDescription': 'Ingenta', 'rssTypeCode': 'LI', 'rssFrequencyCode': 'I', 'rssUrl': 'http://www.ingentaconnect.com/content/brill/eeas/latest?format=rss'}]",
354,469831,465640,Electronic Journal of Contemporary Japanese Studies,1476-9158,DS801,,University of Sheffield * School of East Asian Studies,Journal,Academic / Scholarly,United Kingdom,GBR,Active,2001,950,AI|AVO|EON|MLR|RPR|URL,BRI|ITA|REVI,English,ASIAN STUDIES,,
356,759136,809493,Journal of Contemporary East Asia Studies,2476-1036,DS501,,Taylor & Francis,Journal,Academic / Scholarly,United Kingdom,GBR,Active,,950,AI|AVO|CCC|OPA|RPR,BIA,English,ASIAN STUDIES,,http://www.tandfonline.com/REAS
358,758965,809329,Sungkyun Journal of East Asian Studies,2586-0380,,,Duke University Press,Journal,Academic / Scholarly,United States,USA,Active,,950,AI|AVO|OPA|RPR,,English,ASIAN STUDIES,,https://read.dukeupress.edu/sungkyun-journal-of-east-asian-studies
360,816121,863764,Vienna Journal of East Asian Studies,2521-7038,DS501,,Universitaet Wien * Institut fuer Philologie und Kulturwissenschaft,Journal,Academic / Scholarly,Poland,POL,Active,2010,495|895|950,AVO|OPA|RPR|URL,,English,ASIAN STUDIES,,https://sciendo.com/journal/VJEAS
362,816123,863765,Vienna Journal of East Asian Studies (Print),2521-702X,,,Universitaet Wien * Institut fuer Philologie und Kulturwissenschaft,Journal,Academic / Scholarly,Poland,POL,Active,2014,495|895|950,OPA|RPR,,English,ASIAN STUDIES,,https://sciendo.com/journal/VJEAS
364,760077,810371,Mongolovedenie,2500-1523,DS19,,Rossiiskaya Akademiya Nauk * Kalmytskii Nauchnyi Tsentr,Journal,Academic / Scholarly,Russian Federation,RUS,Active,2001,951,OPA|RPR|URL,BIA,English|Mongol|Russian,ASIAN STUDIES,,
365,834692,881440,Selcuklu Medeniyeti Arastirmalari Dergisi,2548-0367,,,Necmettin Erbakan Universitesi|Necmettin Erbakan University,Journal,Academic / Scholarly,Turkey,TUR,Active,2016,956,AVO|EON|OPA|RPR|URL,,English|Turkish,ASIAN STUDIES,,https://dergipark.org.tr/en/pub/sema
366,575513,645262,Orta Asya ve Kafkasya Arastirmalari,1306-682X,DS327,,International Strategic Research Organization|Uluslararasi Stratejik Arastirmalar Kurumu,Journal,Academic / Scholarly,Turkey,TUR,Active,2006,958,AI|RPR|URL,,English|Turkish,ASIAN STUDIES,,
367,734137,787294,TRaNS (New York),2051-364X,DS520,,Cambridge University Press,Journal,Academic / Scholarly,United States,USA,Active,2013,959,AI|CCC|JCR|RPR|URL,ADI|BIA,English,ASIAN STUDIES,,
372,421227,337821,Africa,1750-0184,PL8000,,Cambridge University Press,Journal,Academic / Scholarly,United Kingdom,GBR,Active,,968,AI|AVO|CCC|RPR,BIA|FSI,English,HISTORY - HISTORY OF AFRICA,,
470,765591,815199,Brazilian Journal of African Studies,2448-3923,,,Universidade Federal do Rio Grande do Sul,Journal,Academic / Scholarly,Brazil,BRA,Active,,960,AVO|OPA|RPR,,English,HISTORY - HISTORY OF AFRICA,,http://www.seer.ufrgs.br/rbea
511,459914,441439,The Columbia Journal of American Studies,1541-1419,E169.1,,Columbia University * Liberal Studies Program,Journal,Academic / Scholarly,United States,USA,Active,1995,973,AI|RPR|URL,BIA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
536,734299,787419,Native American and Indigenous Studies Association. Journal,2332-127X,,,University of Minnesota Press,Journal,Academic / Scholarly,United States,USA,Active,2014,305.897,AI|AVO|CCC|RPR,BIA,English,NATIVE AMERICAN STUDIES,,
540,78934,56424,American Indian Culture and Research Journal,0161-6463,E75,,"University of California, Los Angeles * American Indian Studies Center",Journal,Academic / Scholarly,United States,USA,Active,1971,970.1,AI|CCC|JCR|MLR|RPR|TOC|URL,ADI|BIA|BRI|ILI|ITA|REVI|RPSA,English,NATIVE AMERICAN STUDIES,,
